	model	type	target_class	precision	recall	f1
0	/home/ahatfield/finalproject/combined_distilbert_model	bot	bot	1.0	0.478	0.6468200270635994
1	/home/ahatfield/finalproject/combined_distilbert_model	human	human	1.0	0.8838	0.9383161694447394
2	/home/ahatfield/finalproject/combined_distilbert_model	nonpolitical	bot	1.0	0.86	0.9247311827956989
3	/home/ahatfield/finalproject/combined_distilbert_model	political	bot	1.0	0.846	0.9165763813651138
4	/home/ahatfield/finalproject/combined_distilgpt_model	bot	bot	1.0	0.4928	0.6602357984994641
5	/home/ahatfield/finalproject/combined_distilgpt_model	human	human	1.0	0.8726	0.9319662501335042
6	/home/ahatfield/finalproject/combined_distilgpt_model	nonpolitical	bot	1.0	0.8562	0.9225298997952807
7	/home/ahatfield/finalproject/combined_distilgpt_model	political	bot	1.0	0.831	0.9077007099945386
8	/home/ahatfield/finalproject/nonpolitical_distilbert_model	bot	bot	1.0	0.4536	0.624105668684645
9	/home/ahatfield/finalproject/nonpolitical_distilbert_model	human	human	1.0	0.8986	0.9465922258506267
10	/home/ahatfield/finalproject/nonpolitical_distilbert_model	nonpolitical	bot	1.0	0.8694	0.9301380121964267
11	/home/ahatfield/finalproject/nonpolitical_distilbert_model	political	bot	1.0	0.6172	0.7632945832302745
12	/home/ahatfield/finalproject/nonpolitical_distilgpt_model	bot	bot	1.0	0.4996	0.6663110162710056
13	/home/ahatfield/finalproject/nonpolitical_distilgpt_model	human	human	1.0	0.8858	0.9394421465690953
14	/home/ahatfield/finalproject/nonpolitical_distilgpt_model	nonpolitical	bot	1.0	0.8616	0.9256553502363558
15	/home/ahatfield/finalproject/nonpolitical_distilgpt_model	political	bot	1.0	0.6604	0.7954709708503975
16	/home/ahatfield/finalproject/political_distilbert_model	bot	bot	1.0	0.4372	0.6084052323963262
17	/home/ahatfield/finalproject/political_distilbert_model	human	human	1.0	0.882	0.9373007438894793
18	/home/ahatfield/finalproject/political_distilbert_model	nonpolitical	bot	1.0	0.7396	0.8503104161876294
19	/home/ahatfield/finalproject/political_distilbert_model	political	bot	1.0	0.8714	0.9312813936090627
20	/home/ahatfield/finalproject/political_distilgpt_model	bot	bot	1.0	0.4396	0.6107252014448458
21	/home/ahatfield/finalproject/political_distilgpt_model	human	human	1.0	0.8814	0.9369618369299458
22	/home/ahatfield/finalproject/political_distilgpt_model	nonpolitical	bot	1.0	0.7378	0.8491195764760041
23	/home/ahatfield/finalproject/political_distilgpt_model	political	bot	1.0	0.8544	0.9214840379637619
